TITLE,PEGDA 1500 MgTFSI 30 03_05_18,
DATA TYPE,RAMAN SPECTRUM,
ORIGIN,JASCO,
OWNER,,
DATE,18/03/05,
TIME,9:27:25,
SPECTROMETER/DATA SYSTEM,,
LOCALE,1041,
RESOLUTION,,
DELTAX,1,
XUNITS,1/CM,
YUNITS,INTENSITY,
FIRSTX,212.4148,
LASTX,2060.4148,
NPOINTS,1849,
FIRSTY,45.04688,
MAXY,944.58575,
MINY,29.04553,
XYDATA,,
737.4148,366.025,
738.4148,384.382,
739.4148,403.715,
740.4148,444.83,
741.4148,508.048,
742.4148,585.164,
743.4148,657.107,
744.4148,717.178,
745.4148,782.122,
746.4148,853.932,
747.4148,910.983,
748.4148,941.051,
749.4148,944.586,
750.4148,920.614,
751.4148,867.172,
752.4148,796.463,
753.4148,728.617,
754.4148,653.591,
755.4148,548.497,
756.4148,437.17,
757.4148,358.332,
758.4148,299.352,
759.4148,235.092,
760.4148,177.816,
761.4148,142.477,
762.4148,109.997,
763.4148,66.041,
764.4148,35.2149,
765.4148,34.2127,
766.4148,43.6464,
767.4148,46.3232,
768.4148,39.1938,
769.4148,29.0455,
770.4148,34.4742,
771.4148,54.865,
772.4148,66.2267,
773.4148,61.9676,
774.4148,53.4261,
775.4148,50.5285,
776.4148,60.1008,
777.4148,73.2062,
778.4148,74.1282,
779.4148,69.5546,
780.4148,73.1897,
781.4148,75.4816,
782.4148,63.4121,
783.4148,48.6544,
784.4148,44.7275,
785.4148,46.0934,
786.4148,45.9045,
787.4148,45.3964,
788.4148,45.4994,
789.4148,43.6255,
790.4148,42.1042,
791.4148,51.9412,
792.4148,73.1938,
793.4148,90.8032,
794.4148,97.4436,
795.4148,95.191,
796.4148,91.8331,
797.4148,97.9312,
798.4148,106.603,
799.4148,102.529,
800.4148,93.3289,
801.4148,95.3731,
802.4148,108.288,
803.4148,124.387,
804.4148,131.872,
805.4148,124.711,
806.4148,121.252,
807.4148,135.248,
808.4148,154.057,
809.4148,163.958,
810.4148,158.005,
811.4148,139.689,
812.4148,127.128,
813.4148,124.117,
814.4148,116.341,
815.4148,106.755,
816.4148,113.458,
817.4148,124.199,
818.4148,108.665,
819.4148,81.1785,
820.4148,75.8683,
821.4148,87.5489,
822.4148,96.6506,
823.4148,97.1044,
824.4148,90.0336,
825.4148,87.3607,
826.4148,96.3196,
827.4148,103.364,
828.4148,100.825,
829.4148,101.45,
830.4148,108.962,
831.4148,108.512,
832.4148,101.019,
833.4148,108.087,
834.4148,128.045,
835.4148,137.261,
836.4148,133.04,
837.4148,127.994,
838.4148,128.578,
839.4148,136.028,
840.4148,140.578,
841.4148,132.713,
842.4148,126.619,
843.4148,135.385,
844.4148,141.834,
845.4148,135.301,
846.4148,140.276,
847.4148,164.448,
848.4148,171.597,
849.4148,149.782,
850.4148,129.86,
851.4148,124.196,
852.4148,121.191,
853.4148,118.505,
854.4148,121.45,
855.4148,121.233,
856.4148,103.208,
857.4148,78.5426,
858.4148,66.3609,
859.4148,61.58,
860.4148,54.2027,
861.4148,48.4123,
862.4148,49.0435,
863.4148,52.4657,
864.4148,56.0988,
865.4148,62.7756,
866.4148,71.6454,
867.4148,75.124,
868.4148,69.7903,
869.4148,58.0105,
